supplier_node_id,supplier_node_name,supplier_tier_id,supplier_region_id,supplier_category_id,supplier_capacity_index,supplier_logistics_kind,supplier_is_logistics_hub,supplier_tier_name,supplier_tier_label,supplier_flow_order,supplier_trade_bloc
RAW_MATERIAL_0000,Korrin Minerals - Batam,0,Southeast Asia,Crude industrial gas,0.7800724674956511,,0,RAW_MATERIAL,Raw Material,0,East Asia
RAW_MATERIAL_0001,Granth Extraction - Pune,0,South Asia,Crude industrial gas,0.10238029836366164,,0,RAW_MATERIAL,Raw Material,0,Unaligned
RAW_MATERIAL_0002,Yarrow Feedstock - Tianjin,0,China,Rare earth elements,1.6989952323849167,,0,RAW_MATERIAL,Raw Material,0,East Asia
RAW_MATERIAL_0003,Trellis Resources - Johannesburg,0,Rest of World,Substrate resin,1.773489110852051,,0,RAW_MATERIAL,Raw Material,0,Unaligned
RAW_MATERIAL_0004,Belan Resources - Leixlip,0,Europe,Substrate resin,1.984614840631363,,0,RAW_MATERIAL,Raw Material,0,Western
RAW_MATERIAL_0005,Korrin Resources - Guadalajara,0,North America,Silicon feedstock,2.17632941667514,,0,RAW_MATERIAL,Raw Material,0,Western
RAW_MATERIAL_0006,Quarn Minerals - Perth,0,Rest of World,Copper,0.8846549355313017,,0,RAW_MATERIAL,Raw Material,0,Unaligned
RAW_MATERIAL_0007,Doran Resources - Perth,0,Rest of World,Silicon feedstock,0.6364090670467121,,0,RAW_MATERIAL,Raw Material,0,Unaligned
RAW_MATERIAL_0008,Noral Minerals - Malta,0,North America,Bulk chemical,0.7012642981890086,,0,RAW_MATERIAL,Raw Material,0,Western
RAW_MATERIAL_0009,Mervi Minerals - Batangas,0,Southeast Asia,Substrate resin,0.6213763184431937,,0,RAW_MATERIAL,Raw Material,0,East Asia
RAW_MATERIAL_0010,Ulvid Feedstock - Belo Horizonte,0,Rest of World,Copper,0.4429068955315996,,0,RAW_MATERIAL,Raw Material,0,Unaligned
RAW_MATERIAL_0011,Oxbow Minerals - Bengaluru,0,South Asia,Silicon feedstock,1.3713636912726868,,0,RAW_MATERIAL,Raw Material,0,Unaligned
RAW_MATERIAL_0012,Dyne Resources - Guadalajara,0,North America,Substrate resin,0.9514304802238882,,0,RAW_MATERIAL,Raw Material,0,Western
RAW_MATERIAL_0013,Stade Extraction - Batangas,0,Southeast Asia,Copper,0.3812362778202961,,0,RAW_MATERIAL,Raw Material,0,East Asia
RAW_MATERIAL_0014,Alder Feedstock - Xi'an,0,China,Substrate resin,0.8261691315971136,,0,RAW_MATERIAL,Raw Material,0,East Asia
